timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691181449948,388,GET All Users,200,OK,TC7: API Performance Test 1-1,text,true,,1752,127,2,2,https://reqres.in/api/users?page=2,388,0,296
1691181450336,179,GET Certain User,200,OK,TC7: API Performance Test 1-1,text,true,,986,125,3,3,https://reqres.in/api/users?id=5,179,0,0
1691181450515,155,POST User,201,Created,TC7: API Performance Test 1-1,text,true,,709,217,3,3,https://reqres.in/api/users,155,0,0
1691181450196,474,GET All Users,200,OK,TC7: API Performance Test 1-2,text,true,,1753,127,3,3,https://reqres.in/api/users?page=2,474,0,306
1691181450451,284,GET All Users,200,OK,TC7: API Performance Test 1-3,text,true,,1751,127,4,4,https://reqres.in/api/users?page=2,284,0,198
1691181450670,164,PUT User Info,200,OK,TC7: API Performance Test 1-1,text,true,,699,216,4,4,https://reqres.in/api/users/2,164,0,0
1691181450735,110,GET Certain User,200,OK,TC7: API Performance Test 1-3,text,true,,995,125,4,4,https://reqres.in/api/users?id=5,110,0,0
1691181450670,197,GET Certain User,200,OK,TC7: API Performance Test 1-2,text,true,,994,125,4,4,https://reqres.in/api/users?id=5,197,0,0
1691181450699,251,GET All Users,200,OK,TC7: API Performance Test 1-4,text,true,,1749,127,5,5,https://reqres.in/api/users?page=2,250,0,163
1691181450835,149,DELETE User,204,No Content,TC7: API Performance Test 1-1,,true,,616,172,5,5,https://reqres.in/api/users/2,0,0,0
1691181450845,152,POST User,201,Created,TC7: API Performance Test 1-3,text,true,,709,217,4,4,https://reqres.in/api/users,152,0,0
1691181450950,83,GET Certain User,200,OK,TC7: API Performance Test 1-4,text,true,,1005,125,4,4,https://reqres.in/api/users?id=5,83,0,0
1691181450868,212,POST User,201,Created,TC7: API Performance Test 1-2,text,true,,711,217,4,4,https://reqres.in/api/users,212,0,0
1691181450998,176,PUT User Info,200,OK,TC7: API Performance Test 1-3,text,true,,699,216,4,4,https://reqres.in/api/users/2,176,0,0
1691181451033,154,POST User,201,Created,TC7: API Performance Test 1-4,text,true,,713,217,4,4,https://reqres.in/api/users,154,0,0
1691181450941,315,GET All Users,200,OK,TC7: API Performance Test 1-5,text,true,,1744,127,5,5,https://reqres.in/api/users?page=2,315,0,198
1691181451080,222,PUT User Info,200,OK,TC7: API Performance Test 1-2,text,true,,707,216,5,5,https://reqres.in/api/users/2,222,0,0
1691181451175,147,DELETE User,204,No Content,TC7: API Performance Test 1-3,,true,,620,172,5,5,https://reqres.in/api/users/2,0,0,0
1691181451187,145,PUT User Info,200,OK,TC7: API Performance Test 1-4,text,true,,701,216,4,4,https://reqres.in/api/users/2,145,0,0
1691181451257,102,GET Certain User,200,OK,TC7: API Performance Test 1-5,text,true,,995,125,4,4,https://reqres.in/api/users?id=5,102,0,0
1691181451201,263,GET All Users,200,OK,TC7: API Performance Test 1-6,text,true,,1747,127,5,5,https://reqres.in/api/users?page=2,263,0,177
1691181451332,145,DELETE User,204,No Content,TC7: API Performance Test 1-4,,true,,616,172,5,5,https://reqres.in/api/users/2,0,0,0
1691181451302,202,DELETE User,204,No Content,TC7: API Performance Test 1-2,,true,,614,172,4,4,https://reqres.in/api/users/2,0,0,0
1691181451359,147,POST User,201,Created,TC7: API Performance Test 1-5,text,true,,717,217,3,3,https://reqres.in/api/users,147,0,0
1691181451464,87,GET Certain User,200,OK,TC7: API Performance Test 1-6,text,true,,999,125,3,3,https://reqres.in/api/users?id=5,87,0,0
1691181451506,154,PUT User Info,200,OK,TC7: API Performance Test 1-5,text,true,,703,216,3,3,https://reqres.in/api/users/2,154,0,0
1691181451551,146,POST User,201,Created,TC7: API Performance Test 1-6,text,true,,709,217,3,3,https://reqres.in/api/users,146,0,0
1691181451450,278,GET All Users,200,OK,TC7: API Performance Test 1-7,text,true,,1745,127,4,4,https://reqres.in/api/users?page=2,278,0,177
1691181451661,154,DELETE User,204,No Content,TC7: API Performance Test 1-5,,true,,610,172,4,4,https://reqres.in/api/users/2,0,0,0
1691181451728,103,GET Certain User,200,OK,TC7: API Performance Test 1-7,text,true,,995,125,3,3,https://reqres.in/api/users?id=5,103,0,0
1691181451697,149,PUT User Info,200,OK,TC7: API Performance Test 1-6,text,true,,701,216,3,3,https://reqres.in/api/users/2,149,0,0
1691181451831,149,POST User,201,Created,TC7: API Performance Test 1-7,text,true,,713,217,4,4,https://reqres.in/api/users,149,0,0
1691181451846,144,DELETE User,204,No Content,TC7: API Performance Test 1-6,,true,,612,172,4,4,https://reqres.in/api/users/2,0,0,0
1691181451701,376,GET All Users,200,OK,TC7: API Performance Test 1-8,text,true,,1745,127,3,3,https://reqres.in/api/users?page=2,376,0,242
1691181451980,151,PUT User Info,200,OK,TC7: API Performance Test 1-7,text,true,,697,216,3,3,https://reqres.in/api/users/2,151,0,0
1691181451950,258,GET All Users,200,OK,TC7: API Performance Test 1-9,text,true,,1756,127,4,4,https://reqres.in/api/users?page=2,258,0,170
1691181452078,137,GET Certain User,200,OK,TC7: API Performance Test 1-8,text,true,,999,125,4,4,https://reqres.in/api/users?id=5,137,0,0
1691181452131,152,DELETE User,204,No Content,TC7: API Performance Test 1-7,,true,,612,172,4,4,https://reqres.in/api/users/2,0,0,0
1691181452208,84,GET Certain User,200,OK,TC7: API Performance Test 1-9,text,true,,997,125,3,3,https://reqres.in/api/users?id=5,84,0,0
1691181452215,166,POST User,201,Created,TC7: API Performance Test 1-8,text,true,,715,217,3,3,https://reqres.in/api/users,166,0,0
1691181452292,159,POST User,201,Created,TC7: API Performance Test 1-9,text,true,,708,217,4,4,https://reqres.in/api/users,159,0,0
1691181452199,353,GET All Users,200,OK,TC7: API Performance Test 1-10,text,true,,1745,127,4,4,https://reqres.in/api/users?page=2,352,0,222
1691181452382,186,PUT User Info,200,OK,TC7: API Performance Test 1-8,text,true,,701,216,4,4,https://reqres.in/api/users/2,186,0,0
1691181452451,153,PUT User Info,200,OK,TC7: API Performance Test 1-9,text,true,,699,216,4,4,https://reqres.in/api/users/2,153,0,0
1691181452552,150,GET Certain User,200,OK,TC7: API Performance Test 1-10,text,true,,993,125,5,5,https://reqres.in/api/users?id=5,150,0,0
1691181452449,295,GET All Users,200,OK,TC7: API Performance Test 1-11,text,true,,1746,127,5,5,https://reqres.in/api/users?page=2,295,0,199
1691181452604,152,DELETE User,204,No Content,TC7: API Performance Test 1-9,,true,,618,172,5,5,https://reqres.in/api/users/2,0,0,0
1691181452568,204,DELETE User,204,No Content,TC7: API Performance Test 1-8,,true,,620,172,4,4,https://reqres.in/api/users/2,0,0,0
1691181452744,89,GET Certain User,200,OK,TC7: API Performance Test 1-11,text,true,,997,125,3,3,https://reqres.in/api/users?id=5,89,0,0
1691181452703,217,POST User,201,Created,TC7: API Performance Test 1-10,text,true,,711,217,3,3,https://reqres.in/api/users,217,0,0
1691181452833,164,POST User,201,Created,TC7: API Performance Test 1-11,text,true,,710,217,4,4,https://reqres.in/api/users,163,0,0
1691181452920,224,PUT User Info,200,OK,TC7: API Performance Test 1-10,text,true,,697,216,4,4,https://reqres.in/api/users/2,224,0,0
1691181452997,162,PUT User Info,200,OK,TC7: API Performance Test 1-11,text,true,,695,216,4,4,https://reqres.in/api/users/2,162,0,0
1691181452689,481,GET All Users,200,OK,TC7: API Performance Test 1-12,text,true,,1746,127,4,4,https://reqres.in/api/users?page=2,481,0,318
1691181452949,290,GET All Users,200,OK,TC7: API Performance Test 1-13,text,true,,1744,127,5,5,https://reqres.in/api/users?page=2,290,0,183
1691181453240,91,GET Certain User,200,OK,TC7: API Performance Test 1-13,text,true,,995,125,5,5,https://reqres.in/api/users?id=5,91,0,0
1691181453170,165,GET Certain User,200,OK,TC7: API Performance Test 1-12,text,true,,997,125,5,5,https://reqres.in/api/users?id=5,165,0,0
1691181453159,180,DELETE User,204,No Content,TC7: API Performance Test 1-11,,true,,618,172,5,5,https://reqres.in/api/users/2,0,0,0
1691181453144,233,DELETE User,204,No Content,TC7: API Performance Test 1-10,,true,,618,172,4,4,https://reqres.in/api/users/2,0,0,0
1691181453331,149,POST User,201,Created,TC7: API Performance Test 1-13,text,true,,715,217,4,4,https://reqres.in/api/users,149,0,0
1691181453335,220,POST User,201,Created,TC7: API Performance Test 1-12,text,true,,707,217,4,4,https://reqres.in/api/users,219,0,0
1691181453480,142,PUT User Info,200,OK,TC7: API Performance Test 1-13,text,true,,697,216,4,4,https://reqres.in/api/users/2,142,0,0
1691181453202,475,GET All Users,200,OK,TC7: API Performance Test 1-14,text,true,,1744,127,4,4,https://reqres.in/api/users?page=2,475,0,318
1691181453622,151,DELETE User,204,No Content,TC7: API Performance Test 1-13,,true,,616,172,5,5,https://reqres.in/api/users/2,0,0,0
1691181453555,222,PUT User Info,200,OK,TC7: API Performance Test 1-12,text,true,,693,216,4,4,https://reqres.in/api/users/2,222,0,0
1691181453677,155,GET Certain User,200,OK,TC7: API Performance Test 1-14,text,true,,1013,125,4,4,https://reqres.in/api/users?id=5,155,0,0
1691181453440,409,GET All Users,200,OK,TC7: API Performance Test 1-15,text,true,,1748,127,4,4,https://reqres.in/api/users?page=2,408,0,266
1691181453849,105,GET Certain User,200,OK,TC7: API Performance Test 1-15,text,true,,999,125,5,5,https://reqres.in/api/users?id=5,105,0,0
