timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691182216724,737,Get Search,200,OK,TC3: Load Testing 3-2,text,true,,9693,467,5,35,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,736,0,248
1691182216642,837,Get Search,200,OK,TC4: Stress Testing 4-1,text,true,,7847,467,5,37,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,836,0,329
1691182216638,899,Get Search,200,OK,TC3: Load Testing 3-1,text,true,,7847,467,5,39,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,898,0,334
1691182216727,832,Get Search,200,OK,TC4: Stress Testing 4-2,text,true,,7847,467,5,39,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,832,0,245
1691182216887,725,Get Search,200,OK,TC3: Load Testing 3-3,text,true,,7847,467,5,39,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,725,0,225
1691182216900,773,Get Search,200,OK,TC4: Stress Testing 4-3,text,true,,7847,467,5,39,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,773,0,229
1691182216992,684,FTP GET Text,200,OK,TC8: FTP Test 7-2,text,true,,405,0,4,39,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme2.txt,190,0,0
1691182216675,1001,FTP GET Text,200,OK,TC8: FTP Test 7-1,text,true,,405,0,4,39,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme1.txt,456,0,0
1691182216667,1072,GET All Users,200,OK,TC7: API Performance Test 6-1,text,true,,1741,127,5,43,https://reqres.in/api/users?page=2,1072,0,957
1691182217089,653,Get Search,200,OK,TC4: Stress Testing 4-4,text,true,,7847,467,5,43,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,653,0,234
1691182217166,586,GET All Users,200,OK,TC7: API Performance Test 6-3,text,true,,1751,127,5,44,https://reqres.in/api/users?page=2,586,0,462
1691182216991,772,GET All Users,200,OK,TC7: API Performance Test 6-2,text,true,,1747,127,5,44,https://reqres.in/api/users?page=2,772,0,640
1691182217071,697,Get Search,200,OK,TC3: Load Testing 3-4,text,true,,7847,467,5,44,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,697,0,252
1691182217740,102,GET Certain User,200,OK,TC7: API Performance Test 6-1,text,true,,1003,125,5,46,https://reqres.in/api/users?id=5,102,0,0
1691182217432,411,GET All Users,200,OK,TC7: API Performance Test 6-4,text,true,,1749,127,5,46,https://reqres.in/api/users?page=2,410,0,301
1691182217753,104,GET Certain User,200,OK,TC7: API Performance Test 6-3,text,true,,999,125,5,46,https://reqres.in/api/users?id=5,104,0,0
1691182217764,95,GET Certain User,200,OK,TC7: API Performance Test 6-2,text,true,,1001,125,5,46,https://reqres.in/api/users?id=5,95,0,0
1691182217199,774,FTP GET Text,200,OK,TC8: FTP Test 7-3,text,true,,405,0,5,47,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme3.txt,185,0,0
1691182217843,131,GET Certain User,200,OK,TC7: API Performance Test 6-4,text,true,,1001,125,6,47,https://reqres.in/api/users?id=5,131,0,0
