timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691181506448,834,FTP GET Text,200,OK,TC8: FTP Test 1-1,text,true,,405,0,4,4,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme1.txt,391,0,0
1691181506683,612,FTP GET Text,200,OK,TC8: FTP Test 1-2,text,true,,405,0,4,4,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme2.txt,170,0,0
1691181506931,622,FTP GET Text,200,OK,TC8: FTP Test 1-3,text,true,,405,0,5,5,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme3.txt,179,0,0
1691181507185,625,FTP GET Text,200,OK,TC8: FTP Test 1-4,text,true,,405,0,6,6,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme4.txt,170,0,0
1691181507435,628,FTP GET Text,200,OK,TC8: FTP Test 1-5,text,true,,405,0,7,7,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme5.txt,171,0,0
1691181507282,807,FTP GET Photo,200,OK,TC8: FTP Test 1-1,,true,,20197,0,7,7,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall1.png,174,0,0
1691181507295,816,FTP GET Photo,200,OK,TC8: FTP Test 1-2,,true,,20197,0,7,7,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall2.png,178,0,0
1691181507685,608,FTP GET Text,200,OK,TC8: FTP Test 1-6,text,true,,405,0,8,8,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme6.txt,169,0,0
1691181507553,809,FTP GET Photo,200,OK,TC8: FTP Test 1-3,,true,,20197,0,8,8,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall3.png,192,0,0
1691181507931,648,FTP GET Text,200,OK,TC8: FTP Test 1-7,text,true,,405,0,9,9,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme7.txt,179,0,0
1691181507810,799,FTP GET Photo,200,OK,TC8: FTP Test 1-4,,true,,20197,0,9,9,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall4.png,172,0,0
1691181508183,702,FTP GET Text,200,OK,TC8: FTP Test 1-8,text,true,,405,0,10,10,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme8.txt,180,0,0
1691181508063,833,FTP GET Photo,200,OK,TC8: FTP Test 1-5,,true,,20197,0,10,10,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall5.png,176,0,0
1691181508432,654,FTP GET Text,200,OK,TC8: FTP Test 1-9,text,true,,405,0,11,11,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme9.txt,195,0,0
1691181508293,889,FTP GET Photo,200,OK,TC8: FTP Test 1-6,,true,,20197,0,12,12,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall6.png,176,0,0
1691181508684,650,FTP GET Text,200,OK,TC8: FTP Test 1-10,text,true,,405,0,12,12,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme10.txt,195,0,0
1691181508579,857,FTP GET Photo,200,OK,TC8: FTP Test 1-7,,true,,20197,0,13,13,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall7.png,222,0,0
1691181508932,601,FTP GET Text,200,OK,TC8: FTP Test 1-11,text,true,,405,0,13,13,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme11.txt,174,0,0
1691181508886,823,FTP GET Photo,200,OK,TC8: FTP Test 1-8,,true,,20197,0,14,14,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall8.png,181,0,0
1691181509181,629,FTP GET Text,200,OK,TC8: FTP Test 1-12,text,true,,405,0,14,14,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme12.txt,170,0,0
1691181509086,831,FTP GET Photo,200,OK,TC8: FTP Test 1-9,,true,,20197,0,14,14,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall9.png,188,0,0
1691181509430,621,FTP GET Text,200,OK,TC8: FTP Test 1-13,text,true,,405,0,15,15,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme13.txt,173,0,0
1691181509334,801,FTP GET Photo,200,OK,TC8: FTP Test 1-10,,true,,20197,0,15,15,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall10.png,177,0,0
1691181509682,636,FTP GET Text,200,OK,TC8: FTP Test 1-14,text,true,,405,0,16,16,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme14.txt,175,0,0
1691181509533,825,FTP GET Photo,200,OK,TC8: FTP Test 1-11,,true,,20197,0,16,16,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall11.png,197,0,0
1691181509932,646,FTP GET Text,200,OK,TC8: FTP Test 1-15,text,true,,405,0,17,17,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme15.txt,178,0,0
1691181509810,846,FTP GET Photo,200,OK,TC8: FTP Test 1-12,,true,,20197,0,17,17,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall12.png,176,0,0
1691181510182,708,FTP GET Text,200,OK,TC8: FTP Test 1-16,text,true,,405,0,18,18,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme16.txt,169,0,0
1691181510432,804,FTP GET Text,200,OK,TC8: FTP Test 1-17,text,true,,405,0,20,20,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme17.txt,231,0,0
1691181510681,787,FTP GET Text,200,OK,TC8: FTP Test 1-18,text,true,,405,0,20,20,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme18.txt,216,0,0
1691181510051,1533,FTP GET Photo,200,OK,TC8: FTP Test 1-13,,true,,20197,0,20,20,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall13.png,179,0,0
1691181510931,800,FTP GET Text,200,OK,TC8: FTP Test 1-19,text,true,,405,0,20,20,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme19.txt,232,0,0
1691181511182,806,FTP GET Text,200,OK,TC8: FTP Test 1-20,text,true,,405,0,20,20,ftp://Test.Rebex.Net//pub/example/readme.txt (Ascii)  -> C:\Material\Performance Project\Output\readme20.txt,220,0,0
1691181510319,1692,FTP GET Photo,200,OK,TC8: FTP Test 1-14,,true,,20197,0,20,20,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall14.png,184,0,0
1691181508111,4078,FTP PUT Photo,200,OK,TC8: FTP Test 1-2,,true,,0,15813,20,20,ftp://ftp.dlptest.com//input/iti-logo2.PNG (Binary)  <- C:\Material\Performance Project\iti-logo.PNG,559,0,0
1691181510578,1689,FTP GET Photo,200,OK,TC8: FTP Test 1-15,,true,,20197,0,20,20,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall15.png,227,0,0
1691181508089,4413,FTP PUT Photo,200,OK,TC8: FTP Test 1-1,,true,,0,15813,20,20,ftp://ftp.dlptest.com//input/iti-logo1.PNG (Binary)  <- C:\Material\Performance Project\iti-logo.PNG,581,0,0
1691181510890,1835,FTP GET Photo,200,OK,TC8: FTP Test 1-16,,true,,20197,0,20,20,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall16.png,224,0,0
1691181508362,4419,FTP PUT Photo,200,OK,TC8: FTP Test 1-3,,true,,0,15813,20,20,ftp://ftp.dlptest.com//input/iti-logo3.PNG (Binary)  <- C:\Material\Performance Project\iti-logo.PNG,489,0,0
1691181511237,1655,FTP GET Photo,200,OK,TC8: FTP Test 1-17,,true,,20197,0,20,20,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall17.png,227,0,0
1691181508609,4402,FTP PUT Photo,200,OK,TC8: FTP Test 1-4,,true,,0,15813,20,20,ftp://ftp.dlptest.com//input/iti-logo4.PNG (Binary)  <- C:\Material\Performance Project\iti-logo.PNG,458,0,0
1691181511468,1613,FTP GET Photo,200,OK,TC8: FTP Test 1-18,,true,,20197,0,20,20,ftp://Test.Rebex.Net//pub/example/pocketftpSmall.png (Binary)  -> C:\Material\Performance Project\Output\pocketftpSmall18.png,232,0,0
1691181508896,4363,FTP PUT Photo,200,OK,TC8: FTP Test 1-5,,true,,0,15813,20,20,ftp://ftp.dlptest.com//input/iti-logo5.PNG (Binary)  <- C:\Material\Performance Project\iti-logo.PNG,473,0,0
