timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691179633806,613,Get Search,200,OK,TC3: Load Testing 1-1,text,true,,9694,467,4,4,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,613,0,300
1691179633997,535,Get Search,200,OK,TC3: Load Testing 1-2,text,true,,7847,467,4,4,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,535,0,223
1691179634198,551,Get Search,200,OK,TC3: Load Testing 1-3,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,551,0,228
1691179634396,554,Get Search,200,OK,TC3: Load Testing 1-4,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,554,0,227
1691179634425,571,Get Search,200,OK,TC3: Load Testing 1-1,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,571,0,235
1691179634532,579,Get Search,200,OK,TC3: Load Testing 1-2,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,578,0,260
1691179634599,561,Get Search,200,OK,TC3: Load Testing 1-5,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,561,0,241
1691179634749,552,Get Search,200,OK,TC3: Load Testing 1-3,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,552,0,240
1691179634951,537,Get Search,200,OK,TC3: Load Testing 1-4,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,537,0,225
1691179634997,580,Get Search,200,OK,TC3: Load Testing 1-1,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,580,0,236
1691179635111,554,Get Search,200,OK,TC3: Load Testing 1-2,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,554,0,232
1691179635161,562,Get Search,200,OK,TC3: Load Testing 1-5,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,562,0,226
1691179635302,549,Get Search,200,OK,TC3: Load Testing 1-3,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,549,0,242
1691179635488,536,Get Search,200,OK,TC3: Load Testing 1-4,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,536,0,234
1691179635578,552,Get Search,200,OK,TC3: Load Testing 1-1,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,552,0,241
1691179635665,524,Get Search,200,OK,TC3: Load Testing 1-2,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,524,0,225
1691179635723,546,Get Search,200,OK,TC3: Load Testing 1-5,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,546,0,233
1691179635852,544,Get Search,200,OK,TC3: Load Testing 1-3,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,544,0,230
1691179636025,547,Get Search,200,OK,TC3: Load Testing 1-4,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,547,0,229
1691179636130,527,Get Search,200,OK,TC3: Load Testing 1-1,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,527,0,225
1691179636190,544,Get Search,200,OK,TC3: Load Testing 1-2,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,544,0,236
1691179636270,567,Get Search,200,OK,TC3: Load Testing 1-5,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,567,0,247
1691179636396,544,Get Search,200,OK,TC3: Load Testing 1-3,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,544,0,247
1691179636573,652,Get Search,200,OK,TC3: Load Testing 1-4,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,651,0,244
1691179636657,595,Get Search,200,OK,TC3: Load Testing 1-1,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,595,0,225
1691179636734,576,Get Search,200,OK,TC3: Load Testing 1-2,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,576,0,264
