timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691181568713,800,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-9,text,true,,296250,0,12,12,null,755,0,311
1691181567214,2299,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-3,text,true,,296250,0,12,12,null,1824,0,1810
1691181568463,1069,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-8,text,true,,296250,0,10,10,null,575,0,561
1691181567713,1830,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-5,text,true,,296250,0,9,9,null,1325,0,1311
1691181566711,2832,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-1,text,true,,296250,0,9,9,null,2773,0,2313
1691181567963,1583,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-6,text,true,,296250,0,7,7,null,1075,0,1061
1691181566958,2590,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-2,text,true,,296250,0,6,6,null,2447,0,2066
1691181567456,2096,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-4,text,true,,296250,0,5,5,null,1586,0,1568
1691181568954,598,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-10,text,true,,296250,0,4,4,null,90,0,70
1691181568212,1342,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-7,text,true,,296250,0,3,3,null,1187,0,812
1691181569242,315,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-11,text,true,,296250,0,2,2,null,168,0,0
1691181569462,95,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-12,text,true,,296250,0,2,2,null,27,0,0
1691181569712,10,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-13,text,true,,296250,0,1,1,null,1,0,0
1691181569962,9,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-14,text,true,,296250,0,1,1,null,1,0,1
1691181570213,9,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-15,text,true,,296250,0,1,1,null,1,0,0
1691181570463,8,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-16,text,true,,296250,0,1,1,null,1,0,0
1691181570703,10,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-17,text,true,,296250,0,1,1,null,1,0,1
1691181570953,15,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-18,text,true,,296250,0,1,1,null,1,0,0
1691181571212,9,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-19,text,true,,296250,0,1,1,null,2,0,0
1691181571462,8,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 1-20,text,true,,296250,0,1,1,null,1,0,0
1691182217196,3928,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 8-3,text,true,,296250,0,18,115,null,3612,0,3580
1691182217980,3161,SQLServer SELECT Request,200,OK,TC9: Local Dataase Test (SQL Server) 8-6,text,true,,296250,0,17,114,null,2832,0,2795
