timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691179528739,1085,Open Website,200,OK,TC2: Login and 2nd Purshase 1-1,text,true,,5104,453,5,5,https://opencart.abstracta.us/,1084,0,777
1691179528955,992,Open Website,200,OK,TC2: Login and 2nd Purshase 1-2,text,true,,5104,453,5,5,https://opencart.abstracta.us/,992,0,694
1691179529204,992,Open Website,200,OK,TC2: Login and 2nd Purshase 1-3,text,true,,5104,453,6,6,https://opencart.abstracta.us/,992,0,691
1691179529458,1037,Open Website,200,OK,TC2: Login and 2nd Purshase 1-4,text,true,,5104,453,8,8,https://opencart.abstracta.us/,1036,0,695
1691179529706,1004,Open Website,200,OK,TC2: Login and 2nd Purshase 1-5,text,true,,5104,453,8,8,https://opencart.abstracta.us/,1004,0,695
1691179529956,1017,Open Website,200,OK,TC2: Login and 2nd Purshase 1-6,text,true,,5104,453,9,9,https://opencart.abstracta.us/,1017,0,709
1691179529824,1289,POST Login Info delinkiti231@delinkiti231.com,200,OK,TC2: Login and 2nd Purshase 1-1,text,true,,6349,1699,10,10,https://opencart.abstracta.us:443/index.php?route=account/account,283,0,0
1691179529824,283,POST Login Info delinkiti231@delinkiti231.com-0,302,Found,TC2: Login and 2nd Purshase 1-1,text,true,,559,1020,10,10,https://opencart.abstracta.us/index.php?route=account/login,283,0,0
1691179530107,1006,POST Login Info delinkiti231@delinkiti231.com-1,200,OK,TC2: Login and 2nd Purshase 1-1,text,true,,5790,679,10,10,https://opencart.abstracta.us:443/index.php?route=account/account,1006,0,695
1691179530205,1047,Open Website,200,OK,TC2: Login and 2nd Purshase 1-7,text,true,,5104,453,11,11,https://opencart.abstracta.us/,1046,0,716
1691179529947,1369,POST Login Info delinkiti232@delinkiti232.com,200,OK,TC2: Login and 2nd Purshase 1-2,text,true,,4511,1719,11,11,https://opencart.abstracta.us:443/index.php?route=account/account,291,0,0
1691179529947,291,POST Login Info delinkiti232@delinkiti232.com-0,302,Found,TC2: Login and 2nd Purshase 1-2,text,true,,559,1040,11,11,https://opencart.abstracta.us/index.php?route=account/login,291,0,0
1691179530239,1077,POST Login Info delinkiti232@delinkiti232.com-1,200,OK,TC2: Login and 2nd Purshase 1-2,text,true,,3952,679,11,11,https://opencart.abstracta.us:443/index.php?route=account/account,1077,0,743
1691179531113,284,Get Account Page,200,OK,TC2: Login and 2nd Purshase 1-1,text,true,,3951,638,11,11,https://opencart.abstracta.us/index.php?route=account%2Faccount,284,0,0
1691179530479,995,Open Website,200,OK,TC2: Login and 2nd Purshase 1-8,text,true,,5104,453,12,12,https://opencart.abstracta.us/,994,0,694
1691179530196,1397,POST Login Info delinkiti233@delinkiti233.com,200,OK,TC2: Login and 2nd Purshase 1-3,text,true,,4511,1707,12,12,https://opencart.abstracta.us:443/index.php?route=account/account,339,0,0
1691179530196,339,POST Login Info delinkiti233@delinkiti233.com-0,302,Found,TC2: Login and 2nd Purshase 1-3,text,true,,559,1028,12,12,https://opencart.abstracta.us/index.php?route=account/login,339,0,0
1691179530535,1058,POST Login Info delinkiti233@delinkiti233.com-1,200,OK,TC2: Login and 2nd Purshase 1-3,text,true,,3952,679,12,12,https://opencart.abstracta.us:443/index.php?route=account/account,1058,0,728
1691179531397,232,POST Login Site data,204,No Content,TC2: Login and 2nd Purshase 1-1,,true,,214,719,12,12,https://opencart.abstracta.us/mod_pagespeed_beacon?url=https%3A%2F%2Fopencart.abstracta.us%2Findex.php%3Froute%3Daccount%252Faccount,0,0,0
1691179531317,322,Get Account Page,200,OK,TC2: Login and 2nd Purshase 1-2,text,true,,3951,638,12,12,https://opencart.abstracta.us/index.php?route=account%2Faccount,322,0,0
1691179530729,1029,Open Website,200,OK,TC2: Login and 2nd Purshase 1-9,text,true,,5104,453,13,13,https://opencart.abstracta.us/,1029,0,708
1691179530495,1353,POST Login Info delinkiti234@delinkiti234.com,200,OK,TC2: Login and 2nd Purshase 1-4,text,true,,4511,1723,13,13,https://opencart.abstracta.us:443/index.php?route=account/account,286,0,0
