timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691181616485,20573,MySQL SELECT Request,200,OK,TC10: Online Database Test (MySQL) 1-1,text,true,,237,0,20,20,null,20569,0,20470
1691181621219,15839,MySQL SELECT Request,200,OK,TC10: Online Database Test (MySQL) 1-20,text,true,,237,0,20,20,null,15835,0,15736
1691181619490,17568,MySQL SELECT Request,200,OK,TC10: Online Database Test (MySQL) 1-13,text,true,,237,0,20,20,null,17565,0,17466
1691181619994,17064,MySQL SELECT Request,200,OK,TC10: Online Database Test (MySQL) 1-15,text,true,,237,0,20,20,null,17062,0,16961
1691181619747,17312,MySQL SELECT Request,200,OK,TC10: Online Database Test (MySQL) 1-14,text,true,,237,0,20,20,null,17309,0,17208
1691181619240,17819,MySQL SELECT Request,200,OK,TC10: Online Database Test (MySQL) 1-12,text,true,,237,0,20,20,null,17814,0,17716
1691181620749,16317,MySQL SELECT Request,200,OK,TC10: Online Database Test (MySQL) 1-18,text,true,,237,0,20,20,null,16316,0,16206
1691181621000,16066,MySQL SELECT Request,200,OK,TC10: Online Database Test (MySQL) 1-19,text,true,,237,0,20,20,null,16065,0,15955
1691181620250,16817,MySQL SELECT Request,200,OK,TC10: Online Database Test (MySQL) 1-16,text,true,,237,0,20,20,null,16817,0,16705
1691181620496,16571,MySQL SELECT Request,200,OK,TC10: Online Database Test (MySQL) 1-17,text,true,,237,0,20,20,null,16571,0,16459
1691181617491,19669,MySQL SELECT Request,200,OK,TC10: Online Database Test (MySQL) 1-5,text,true,,237,0,20,20,null,19668,0,19575
1691181618740,18514,MySQL SELECT Request,200,OK,TC10: Online Database Test (MySQL) 1-10,text,true,,237,0,20,20,null,18514,0,18420
1691181618501,18844,MySQL SELECT Request,200,OK,TC10: Online Database Test (MySQL) 1-9,text,true,,237,0,20,20,null,18844,0,18753
1691181618990,18459,MySQL SELECT Request,200,OK,TC10: Online Database Test (MySQL) 1-11,text,true,,237,0,20,20,null,18459,0,18355
1691181637058,429,MySQL INSERT INTO Request,200,OK,TC10: Online Database Test (MySQL) 1-1,text,true,,9,0,20,20,null,429,0,0
1691181637059,428,MySQL INSERT INTO Request,200,OK,TC10: Online Database Test (MySQL) 1-14,text,true,,9,0,20,20,null,428,0,0
1691181637058,430,MySQL INSERT INTO Request,200,OK,TC10: Online Database Test (MySQL) 1-15,text,true,,9,0,18,18,null,430,0,1
1691181637066,422,MySQL INSERT INTO Request,200,OK,TC10: Online Database Test (MySQL) 1-18,text,true,,9,0,18,18,null,422,0,0
1691181637058,430,MySQL INSERT INTO Request,200,OK,TC10: Online Database Test (MySQL) 1-13,text,true,,9,0,18,18,null,430,0,0
1691181637059,429,MySQL INSERT INTO Request,200,OK,TC10: Online Database Test (MySQL) 1-12,text,true,,9,0,18,18,null,429,0,0
1691181637068,420,MySQL INSERT INTO Request,200,OK,TC10: Online Database Test (MySQL) 1-16,text,true,,9,0,18,18,null,420,0,0
1691181637058,431,MySQL INSERT INTO Request,200,OK,TC10: Online Database Test (MySQL) 1-20,text,true,,9,0,13,13,null,431,0,0
1691181637068,421,MySQL INSERT INTO Request,200,OK,TC10: Online Database Test (MySQL) 1-17,text,true,,9,0,13,13,null,421,0,0
