timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691181055806,621,Get Search,200,OK,TC5: Spike Testing 1-10,text,true,,7847,467,1,1,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,621,0,307
1691181056428,537,Get Search,200,OK,TC5: Spike Testing 1-10,text,true,,7847,467,2,2,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,537,0,239
1691181056805,530,Get Search,200,OK,TC5: Spike Testing 1-9,text,true,,7847,467,2,2,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,530,0,231
1691181056965,520,Get Search,200,OK,TC5: Spike Testing 1-10,text,true,,7847,467,2,2,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,520,0,224
1691181057335,530,Get Search,200,OK,TC5: Spike Testing 1-9,text,true,,7847,467,3,3,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,530,0,231
1691181057486,525,Get Search,200,OK,TC5: Spike Testing 1-10,text,true,,7847,467,3,3,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,524,0,228
1691181057805,536,Get Search,200,OK,TC5: Spike Testing 1-8,text,true,,7847,467,3,3,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,536,0,226
1691181057865,545,Get Search,200,OK,TC5: Spike Testing 1-9,text,true,,7847,467,3,3,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,544,0,224
1691181058011,525,Get Search,200,OK,TC5: Spike Testing 1-10,text,true,,7847,467,3,3,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,525,0,223
1691181058342,538,Get Search,200,OK,TC5: Spike Testing 1-8,text,true,,7847,467,4,4,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,538,0,232
1691181058410,540,Get Search,200,OK,TC5: Spike Testing 1-9,text,true,,7847,467,4,4,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,540,0,224
1691181058537,521,Get Search,200,OK,TC5: Spike Testing 1-10,text,true,,7847,467,4,4,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,521,0,223
1691181058806,520,Get Search,200,OK,TC5: Spike Testing 1-7,text,true,,7847,467,4,4,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,520,0,222
1691181058880,526,Get Search,200,OK,TC5: Spike Testing 1-8,text,true,,7847,467,4,4,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,526,0,224
1691181058950,536,Get Search,200,OK,TC5: Spike Testing 1-9,text,true,,7847,467,4,4,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,536,0,226
1691181059059,536,Get Search,200,OK,TC5: Spike Testing 1-10,text,true,,7847,467,4,4,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,536,0,226
1691181059327,521,Get Search,200,OK,TC5: Spike Testing 1-7,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,521,0,223
1691181059406,532,Get Search,200,OK,TC5: Spike Testing 1-8,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,532,0,226
1691181059487,538,Get Search,200,OK,TC5: Spike Testing 1-9,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,538,0,238
1691181059596,520,Get Search,200,OK,TC5: Spike Testing 1-10,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,520,0,223
1691181059806,548,Get Search,200,OK,TC5: Spike Testing 1-6,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,548,0,222
1691181059849,571,Get Search,200,OK,TC5: Spike Testing 1-7,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,571,0,223
1691181059939,539,Get Search,200,OK,TC5: Spike Testing 1-8,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,539,0,233
1691181060025,537,Get Search,200,OK,TC5: Spike Testing 1-9,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,537,0,229
