timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691180225134,598,Get Search,200,OK,TC4: Stress Testing 1-1,text,true,,7847,467,4,4,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,598,0,296
1691180225331,527,Get Search,200,OK,TC4: Stress Testing 1-2,text,true,,9694,467,4,4,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,526,0,223
1691180225533,539,Get Search,200,OK,TC4: Stress Testing 1-3,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,539,0,231
1691180225732,579,Get Search,200,OK,TC4: Stress Testing 1-4,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,578,0,233
1691180225734,593,Get Search,200,OK,TC4: Stress Testing 1-1,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,593,0,231
1691180225858,561,Get Search,200,OK,TC4: Stress Testing 1-2,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,561,0,232
1691180225930,548,Get Search,200,OK,TC4: Stress Testing 1-5,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,548,0,226
1691180226072,554,Get Search,200,OK,TC4: Stress Testing 1-3,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,554,0,224
1691180226311,620,Get Search,200,OK,TC4: Stress Testing 1-4,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,620,0,256
1691180226327,654,Get Search,200,OK,TC4: Stress Testing 1-1,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,654,0,261
1691180226419,631,Get Search,200,OK,TC4: Stress Testing 1-2,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,631,0,228
1691180226479,592,Get Search,200,OK,TC4: Stress Testing 1-5,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,591,0,231
1691180226627,524,Get Search,200,OK,TC4: Stress Testing 1-3,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,524,0,223
1691180226931,555,Get Search,200,OK,TC4: Stress Testing 1-4,text,true,,7847,467,5,5,http://opencart.abstracta.us/index.php?route=product/search&search=macbook,555,0,230
